,행정동,카메라대수
0,대화동,43
1,덕암동,81
2,목상동,44
3,법1동,20
4,법2동,33
5,비래동,64
6,석봉동,51
7,송촌동,104
8,신탄진동,99
9,오정동,120
10,중리동,179
11,회덕동,78
