,행정동,카메라대수
0,가양1동,69
1,가양2동,62
2,대동,46
3,대청동,77
4,산내동,107
5,삼성동,55
6,성남동,28
7,신인동,42
8,용운동,95
9,용전동,51
10,자양동,78
11,중앙동,42
12,판암1동,61
13,판암2동,30
14,홍도동,49
15,효동,210
