,행정동,1218_유동인구,1218_거주인구,1218_유동인구/거주인구,2103_유동인구,2103_거주인구,2103_유동인구/거주인구,카메라대수,면적대비_CCTV,보정_범죄자수,보정_면적대비범죄자수,유흥매출액,유흥+일반매출액,여성1인가구수,cctv_re
44,갈마2동,1466628.8,25254,58.07510889364061,824675.933,25254,32.6552599,46,63.01369863013698,3.0,4.109589041095891,2511346217.0,55817705925,2296,58.01556617291673
45,월평1동,1171148.2,11144,105.09226489590809,462620.0,11144,41.5129218,52,18.571428571428573,1.0,0.35714285714285715,3819638193.0,47109306659,1306,102.45783623162514
46,월평2동,1034306.0,15380,67.25006501950585,369708.133,15380,24.038240100000003,3,4.545454545454545,1.0,1.5151515151515151,506849214.0,12586552241,1417,116.48381025759916
47,월평3동,725269.6,22317,32.498525787516236,283440.733,22317,12.700664699999999,28,31.11111111111111,0.1,0.11111111111111112,182190.2,273710927,418,89.91815369194259
48,가수원동,2152727.933333333,41348,52.06365321982522,663212.0,41348,16.0397601,95,9.405940594059404,1.0,0.099009900990099,1353985468.0,78368310566,1140,111.6233242089943
49,관저1동,1387036.6,15866,87.42194630026471,628158.6,15866,39.5914912,20,19.801980198019802,0.1,0.099009900990099,633331924.0,32849758394,723,101.2272846050339
50,관저2동,2878551.666666666,51212,56.20853836340441,1185542.93,51212,23.1497097,64,14.035087719298248,1.0,0.2192982456140351,3747679840.0,96855592844,1187,106.99417708375546
51,기성동,97775.93333333332,3845,25.429371478110088,5092.533329999999,3845,1.3244559999999999,44,0.8950366151342556,0.1,0.0020341741253051267,182190.2,528259718,218,120.13422818791945
52,둔산1동,2901465.533333333,17259,168.11318925391583,954349.2,17259,55.2957414,16,14.953271028037387,0.1,0.09345794392523364,2835767326.0,80829819081,430,106.07599377501631
53,둔산2동,6940638.466666668,37168,186.73693679150523,2532627.73,37168,68.1400057,26,10.833333333333336,1.0,0.4166666666666667,6185197836.0,276093780269,1495,110.19593146972036
54,만년동,1463951.4666666668,13357,109.60181677522398,430995.73299999995,13357,32.2674054,24,14.035087719298248,0.1,0.05847953216374269,369665341.0,72117380325,681,106.99417708375546
55,둔산3동,1401355.4,20543,68.21571338168721,591222.4670000001,20543,28.779753000000003,25,33.333333333333336,1.0,1.3333333333333333,330723645.0,7889618925,932,87.69593146972036
56,진잠동,2558894.1333333333,35462,72.15876525106688,662546.333,35462,18.683276,148,3.1543052003410064,4.0,0.08525149190110827,504944184.0,42701797334,1409,117.8749596027127
57,온천1동,6293679.4,34114,184.4896347540599,2459150.87,34114,72.0862657,201,15.581395348837207,10.0,0.7751937984496123,21321548799.0,352724203444,3073,105.4478694542165
58,온천2동,6381447.133333333,40087,159.18994021336925,2322480.0,40087,57.9359892,135,14.966740576496676,5.0,0.5543237250554324,2177969106.0,189237793238,3468,106.06252422655703
59,노은1동,1873089.6,22304,83.9799856527977,477785.26700000005,22304,21.4215059,51,5.543478260869565,1.0,0.10869565217391304,1453897292.0,85850556036,901,115.48578654218414
60,노은2동,1677268.6,25127,66.75164564014804,437752.533,25127,17.4215996,79,6.734867860187554,1.0,0.08525149190110827,53309481.0,18076648171,784,114.29439694286616
61,노은3동,1104251.2666666666,36635,30.14197534234111,339296.06700000004,36635,9.26152768,37,4.862023653088042,1.0,0.1314060446780552,589698564.0,67756747591,1009,116.16724114996566
62,신성동,3319655.0,25516,130.1009170716413,888398.067,25516,34.8172937,70,2.2479126525369297,0.1,0.0032113037893384717,1225557074.0,91681894483,895,118.78135215051678
63,전민동,2308258.466666667,27377,84.31378407665802,650611.8,27377,23.7649048,42,4.656319290465632,1.0,0.11086474501108648,1889663864.0,44813139301,807,116.37294551258807
64,구즉동,1530903.6,28249,54.193196219335206,862141.267,28249,30.5193553,61,2.2181818181818183,2.0,0.07272727272727272,2467234133.0,35439339131,1089,118.81108298487189
65,관평동,2559229.6,29033,88.14898908139013,1072954.0,29033,36.95636,56,7.777777777777778,0.1,0.01388888888888889,3869342713.0,117004488824,629,113.25148702527594
66,원신흥동,2533971.8666666667,46535,54.453032484509876,1023972.6,46535,22.0043537,42,10.169491525423727,1.0,0.2421307506053269,182190.2,54990506663,1722,110.85977327762998
67,오정동,3613588.6,15058,239.97799176517464,1296809.0,15058,86.1209324,120,38.96103896103896,2.0,0.6493506493506493,937023432.0,60431879424,1918,82.06822584201475
68,대화동,859777.1333333333,7483,114.89738518419529,247733.333,7483,33.1061517,43,13.650793650793652,1.0,0.31746031746031744,10825783.0,5001388610,492,107.37847115226006
69,회덕동,1952539.066666667,13787,141.62174995768962,424891.06700000004,13787,30.818239399999996,78,4.645622394282312,2.0,0.11911852293031568,182190.2,10718563800,716,116.3836424087714
70,비래동,1035052.4,16967,61.00385454116815,381051.93299999996,16967,22.4584154,64,19.104477611940297,1.0,0.29850746268656714,275830929.0,11011472553,683,101.92478719111341
71,송촌동,1414668.6,28513,49.61486339564409,590183.6,28513,20.698755,104,54.16666666666667,0.1,0.052083333333333336,1656446658.0,53467364366,729,66.86259813638704
72,중리동,1549303.0,20031,77.34526483949878,621846.333,20031,31.0441982,179,120.13422818791945,3.0,2.0134228187919465,2995885912.0,58010370084,1376,0.8950366151342593
73,신탄진동,782792.4,11296,69.2981940509915,215261.0,11296,19.0563916,99,4.311846689895472,0.1,0.004355400696864111,4258148837.0,36740055809,612,116.71741811315823
74,석봉동,1479701.066666667,14441,102.4652771045403,639674.333,14441,44.295709,51,41.80327868852459,0.1,0.0819672131147541,485991433.0,11092017544,372,79.22598611452912
75,덕암동,1329245.4,14007,94.89865067466265,318152.667,14007,22.7138336,81,13.02250803858521,1.0,0.1607717041800643,420854809.0,30424713246,609,108.00675676446849
76,목상동,532337.6,6904,77.10567786790266,154313.467,6904,22.3513132,44,7.84313725490196,1.0,0.17825311942959002,272062386.0,13000500851,282,113.18612754815175
77,법1동,463998.46666666673,9938,46.689320453478224,184397.8,9938,18.5548199,20,25.64102564102564,1.0,1.282051282051282,182190.2,1470038586,1017,95.38823916202807
78,법2동,691231.6666666667,17027,40.59620994107399,242455.333,17027,14.2394628,33,17.64705882352941,1.0,0.53475935828877,1852267160.0,31208655626,937,103.3822059795243
