,행정동,카메라대수,면적(km^2),면적대비_CCTV
0,대화동,43,3.15,13.650793650793652
1,덕암동,81,6.22,13.02250803858521
2,목상동,44,5.61,7.8431372549019605
3,법1동,20,0.78,25.64102564102564
4,법2동,33,1.87,17.64705882352941
5,비래동,64,3.35,19.104477611940297
6,석봉동,51,1.22,41.80327868852459
7,송촌동,104,1.92,54.16666666666667
8,신탄진동,99,22.96,4.311846689895471
9,오정동,120,3.08,38.96103896103896
10,중리동,179,1.49,120.13422818791946
11,회덕동,78,16.79,4.645622394282311
