,행정동,카메라대수
0,관평동,56
1,구즉동,61
2,노은1동,51
3,노은2동,79
4,노은3동,37
5,신성동,70
6,온천1동,201
7,온천2동,135
8,원신흥동,42
9,전민동,42
10,진잠동,148
