,행정동,카메라대수,면적(km^2),면적대비_CCTV
0,관평동,56,7.2,7.777777777777778
1,구즉동,61,27.5,2.2181818181818183
2,노은1동,51,9.2,5.543478260869565
3,노은2동,79,11.73,6.734867860187553
4,노은3동,37,7.61,4.862023653088042
5,신성동,70,31.14,2.2479126525369297
6,온천1동,201,12.9,15.581395348837209
7,온천2동,135,9.02,14.966740576496674
8,원신흥동,42,4.13,10.169491525423728
9,전민동,42,9.02,4.656319290465632
10,진잠동,148,46.92,3.154305200341006
