행정동,sum,weight
중앙동,40757.85190168816,0.06347550805465803
효동,4512.358323527526,0.007027461550266618
신인동,7815.083809043041,0.012171063785827054
판암1동,6727.379343411336,0.010477093413300304
판암2동,2662.134594288121,0.004145958091459682
용운동,5360.247667577753,0.008347948385969795
대동,4076.6491092062456,0.006348896256642945
자양동,6470.3557073639195,0.010076809661361711
가양1동,6471.946209599226,0.010079286679475708
가양2동,5309.387655227836,0.008268739964206932
용전동,9870.904491631109,0.015372760053120927
성남동,6578.473741941058,0.010245190644520704
홍도동,4624.606802497231,0.0072022752094396
삼성동,6674.788226111204,0.010395189001413235
대청동,11065.771825305479,0.0172336238505026
산내동,3675.8271733617776,0.0057246637510008766
은행선화동,15817.090452379043,0.024633237660144098
목동,5501.720278163837,0.008568275155261542
중촌동,7552.684174410029,0.01176240755532053
대흥동,13678.239200486683,0.021302231153847193
문창동,6964.386185525755,0.010846203388770325
석교동,4710.672223193116,0.0073363118686282786
대사동,15263.76755565312,0.02377150304094307
부사동,6211.927026423247,0.009674337719067694
용두동,11451.976062516487,0.017835091028629693
오류동,14377.87493122962,0.022391830614810457
태평1동,5075.2704803874585,0.007904130301922482
태평2동,8547.991036386513,0.013312479646622966
유천1동,10556.206309657162,0.01644003614939093
유천2동,5549.485523442227,0.008642663845291488
문화1동,10103.78112034662,0.01573543771232212
문화2동,3778.554717331753,0.005884649685991512
산성동,7444.3621996327265,0.011593708959549138
복수동,7590.472099585354,0.011821257755635816
도마1동,10123.44633593091,0.015766063947316743
도마2동,6939.918356686264,0.010808097654681902
정림동,4792.472586390267,0.007463706207896183
변동,6351.04045505682,0.009890990342985191
용문동,13677.490864651903,0.021301065709764845
탄방동,14535.174577187963,0.022636806109792566
괴정동,8137.224396072323,0.01267275944623703
가장동,6912.775073760949,0.010765825218977695
내동,3838.9848717776695,0.005978762466138228
갈마1동,6707.665015952742,0.010446390692401062
갈마2동,4942.764496219258,0.007697767987106509
월평1동,8944.388149251403,0.013929821016604643
월평2동,5723.643744785971,0.00891389456687993
월평3동,2765.945040863986,0.004307630518497257
가수원동,4431.1303341628845,0.0069009586151851585
관저1동,7440.469774317575,0.011587646969946741
관저2동,4783.90093621393,0.007450356881952261
기성동,2164.2902940288186,0.003370624789613957
둔산1동,14308.090316494172,0.022283149375047974
둔산2동,15893.154896983106,0.024751698988228425
만년동,9328.195486810819,0.014527555308525961
둔산3동,5805.829943509481,0.009041889799102653
진잠동,6141.422543471958,0.009564535370154437
온천1동,15701.887330988371,0.02445382249672003
온천2동,13548.633823191483,0.021100386189341406
노은1동,7147.524979038048,0.011131420283682993
노은2동,5681.2233402538095,0.0088478298307879
노은3동,2565.379357977478,0.003995273315515634
신성동,11072.871081567457,0.017244680097998816
전민동,7175.934516786353,0.011175664760710914
구즉동,4612.375444704599,0.0071832263240381245
관평동,7502.348284995196,0.011684015392708611
원신흥동,4634.490073343311,0.0072176672286193636
오정동,20424.493731785147,0.03180872042794145
대화동,9778.9005826394,0.01522947490452306
회덕동,12053.407577165332,0.018771749099926054
비래동,5192.029633742588,0.008085968800112364
송촌동,4222.714170469888,0.006576375221803041
중리동,6582.844807049738,0.010251998058689211
신탄진동,5897.959723754572,0.009185370977211034
석봉동,8720.805581185037,0.013581617751761093
덕암동,8076.811050890682,0.01257867284452073
목상동,6562.4535929905305,0.010220241167394215
법1동,3973.721614757509,0.006188598922556604
법2동,3455.1378206675445,0.00538096632508379
