행정동,sum,weight
중앙동,137516.3515560555,0.013465087338107303
효동,7246.712301916619,0.0007095709925060696
신인동,207911.62675736955,0.020357929665947936
판암1동,32522.489101711457,0.003184480618137109
판암2동,689391.1834586468,0.06750260889235372
용운동,150990.57620419923,0.01478443307152415
대동,23600.77925353927,0.002310900124242741
자양동,151865.88389233954,0.014870139929909801
가양1동,16955.899657882564,0.001660258341688958
가양2동,211691.83815295805,0.02072807384169244
용전동,14553.813873015875,0.0014250550766163562
성남동,20307.647264673327,0.001988448944115847
홍도동,554431.0046863192,0.054287812442527866
삼성동,266634.75797891704,0.026107879266253877
대청동,274.8595632297614,2.6913221465842408e-05
산내동,3466.5694020680935,0.000339433523608501
은행선화동,837342.7159817348,0.08198947016148894
목동,24949.39521088436,0.0024429515599137534
중촌동,14553.813873015875,0.0014250550766163562
대흥동,436614.41619047616,0.04275165229849068
문창동,379664.70973084867,0.03717534982477449
석교동,121281.78227513233,0.011875458971802972
대사동,86458.30023573787,0.008465673722473404
부사동,15319.804076858822,0.0015000579753856387
용두동,212982.64204413467,0.020854464535849108
오류동,26461.47976911976,0.0025910092302115556
태평1동,24949.39521088436,0.0024429515599137534
태평2동,17464.576647619047,0.0017100660919396272
유천1동,582152.5549206351,0.057002203064654255
유천2동,249493.95210884346,0.024429515599137523
문화1동,80481.92003511077,0.007880488902947586
문화2동,120445.35619047617,0.011793559254756048
산성동,12615.875257129092,0.0012352993681239777
복수동,9811.559914392716,0.0009607112876065314
도마1동,214289.28401986562,0.020982406036069046
도마2동,98669.92456281948,0.009661390349941396
정림동,57829.72399873852,0.0056624705031113436
변동,11800.389626769635,0.0011554500621213705
용문동,356419.931584062,0.034899307998767885
탄방동,105845.91907647904,0.010364036920846222
괴정동,138607.7511715798,0.013571953110631967
가장동,612792.1630743528,0.06000231901542554
내동,17640.986512746516,0.0017273394868077047
갈마1동,11643.051098412703,0.0011400440612930852
갈마2동,717722.3279843447,0.07027668870984773
월평1동,62373.488027210864,0.006107378899784381
월평2동,264614.7976911977,0.025910092302115568
월평3동,19405.085164021166,0.0019000734354884749
가수원동,17291.660047147576,0.0016931347444946808
관저1동,17291.660047147576,0.0016931347444946808
관저2동,38299.510192147056,0.0037501449384640968
기성동,355.25989925994793,3.478572196785245e-05
둔산1동,16322.034250111248,0.00159819260928937
둔산2동,72769.06936507938,0.007125275383081782
만년동,10213.202717905875,0.0010000386502570918
둔산3동,232861.02196825395,0.022800881225861692
진잠동,14888.812146307797,0.0014578568558735099
온천1동,135384.31509782202,0.013256326294105633
온천2동,96810.29183824307,0.009479302061749597
노은1동,18983.235486542435,0.0018587674912387245
노은2동,14888.812146307797,0.0014578568558735099
노은3동,22949.509392403474,0.0022471302127984585
신성동,560.8406116769124,5.491541721064957e-05
전민동,19362.058367648606,0.0018958604123499188
구즉동,12701.510289177484,0.0012436844305015466
관평동,2425.6356455026457,0.00023750917943605936
원신흥동,42287.11052692265,0.0041405958642606
오정동,113406.34186765617,0.011104325272335243
대화동,55443.10046863188,0.005428781244252783
회덕동,20803.545738676643,0.0020370054698506572
비래동,52133.06461975832,0.005104674901312317
송촌동,9096.133670634923,0.0008906594228852227
중리동,351635.77142857166,0.03443086091153614
신탄진동,760.652293014767,7.448023048517541e-05
석봉동,14315.226760343487,0.0014016935179833015
덕암동,28078.09750421071,0.0027493023986167662
목상동,31131.152669552677,0.003048246153190067
법1동,223904.8288156286,0.021923924255636225
법2동,93393.45800865801,0.009144738459570199
