행정동,sum,weight
중앙동,3308293.443115417,0.007243686896484813
효동,8035804.470285055,0.017594827225877133
신인동,13600.158711264896,2.9778280899451152e-05
판암1동,353447.9856559954,0.000773893424603316
판암2동,369093.40628484107,0.0008081499167639509
용운동,452602.10078046797,0.00099099670664571
대동,171571.91139406603,0.00037566595217130845
자양동,1078761.1930127535,0.002362005805296453
가양1동,1060668.65409289,0.0023223912156745178
가양2동,2406830.4768236345,0.005269885119564777
용전동,8063095.847878016,0.017654583168829695
성남동,1297089.019588374,0.002840046355113744
홍도동,900788.2338068149,0.0019723244137586264
삼성동,42155.50553115648,9.230175263509056e-05
대청동,739.4486834676749,1.619062767906612e-06
산내동,739.4486834676749,1.619062767906612e-06
은행선화동,6045277.613290109,0.013236461331484987
목동,739.4486834676749,1.619062767906612e-06
중촌동,1561495.4597266992,0.0034189785141584285
대흥동,22058297.617921766,0.04829783214853945
문창동,37535.22060643925,8.218538963928453e-05
석교동,26088.90117410693,5.712305598883136e-05
대사동,7394.48683467675,1.619062767906612e-05
부사동,7088172.150894544,0.015519935160622363
용두동,739.4486834676749,1.619062767906612e-06
오류동,12443600.065207835,0.02724593337541458
태평1동,5880661.325465061,0.012876025092206478
태평2동,6145716.818925475,0.013456378388500676
유천1동,14039274.689597664,0.030739749013745998
유천2동,1347604.048451043,0.002950651734878208
문화1동,816244.7100397653,0.001787211809382962
문화2동,8276.056920169623,1.8120872920734952e-05
산성동,2248464.015073519,0.004923133211504983
복수동,4254964.455920693,0.009316474129131863
도마1동,1169939.7465325373,0.0025616461651158454
도마2동,970864.4695012274,0.002125760110737363
정림동,2557417.666103593,0.005599603891046699
변동,553919.1181790846,0.0012128357798538477
용문동,8746542.185604839,0.019151025780758425
탄방동,22002213.189773776,0.048175032268704766
괴정동,7177253.268379665,0.015714983071137684
가장동,6623495.449598563,0.014502500465013937
내동,162829.28271369517,0.00035652349522129916
갈마1동,6963440.927982958,0.015246829421810892
갈마2동,10192708.794941647,0.022317485557773267
월평1동,15502625.460297506,0.033943834438737
월평2동,2057130.3177060348,0.00450419776327229
월평3동,739.4486834676749,1.619062767906612e-06
가수원동,5495371.165666229,0.012032411510198732
관저1동,2570481.05441374,0.005628206884207062
관저2동,15210570.731830485,0.03330436486143711
기성동,739.4486834676749,1.619062767906612e-06
둔산1동,11509424.852880951,0.02520050637176257
둔산2동,25103635.633625288,0.0549657639565913
만년동,1500347.1631628866,0.0032850910213535157
둔산3동,1342295.929676135,0.002939029322575333
진잠동,2049398.4423062238,0.004487268405135872
온천1동,86536988.20744653,0.18947740226732732
온천2동,8839643.340119116,0.019354875779133297
노은1동,5900879.621772298,0.0129202941422615
노은2동,216365.23557136994,0.00047374335097894886
노은3동,2393387.936302709,0.0052404519521927805
신성동,4974123.552659778,0.010891111752761497
전민동,7669509.427132948,0.016792804476096622
구즉동,10013672.697287565,0.021925476367272507
관평동,15704359.372859197,0.034385541718978625
원신흥동,739.4486834676749,1.619062767906612e-06
오정동,3803062.640969511,0.008327010736072936
대화동,43938.208459383335,9.62050768303474e-05
회덕동,739.4486834676749,1.619062767906612e-06
비래동,1119504.876270598,0.0024512162969303054
송촌동,6722959.305673578,0.014720281941570611
중리동,12159292.286016235,0.026623426161314637
신탄진동,17282392.530054074,0.03784073041355426
석봉동,1972475.6068571098,0.004318841708784993
덕암동,1708107.9797161974,0.0037399945328911704
목상동,1104209.6289963718,0.002417726528213032
법1동,739.4486834676749,1.619062767906612e-06
법2동,7517728.796018718,0.016460472599361106
