행정동,sum,weight
중앙동,20560.907510455927,0.012553831192975179
효동,54175.00526613907,0.033077522022984404
신인동,31086.133974141696,0.018980197160807708
판암1동,7062.399152412079,0.004312074587744023
판암2동,24541.684716427666,0.01498436617958504
용운동,17021.226095351365,0.010392615160096442
대동,38647.62602190591,0.023597001875598787
자양동,42169.016521444406,0.025747050061617427
가양1동,41649.383382830645,0.02542977872030549
가양2동,23361.700683597406,0.014263905745091862
용전동,26423.213878020448,0.016133167586686557
성남동,20242.133750603905,0.012359198151223631
홍도동,48356.208404220415,0.029524751139034213
삼성동,26102.86058897395,0.015937570135029378
대청동,753.4253434085335,0.00046001736902177967
산내동,1320.451105690021,0.0008062251275134679
은행선화동,42583.745170057126,0.02600027008329824
목동,34638.8349997579,0.02114936255061431
중촌동,38339.56523477477,0.02340890983166285
대흥동,47665.40542701728,0.02910296897990516
문창동,39195.560228265625,0.023931552941887986
석교동,14823.48055248424,0.00905074216464442
대사동,15081.39173002914,0.009208214464154235
부사동,33267.61706004639,0.020312140821215276
용두동,31086.133974141696,0.018980197160807708
오류동,24492.105555384376,0.014954094732757595
태평1동,31086.133974141696,0.018980197160807708
태평2동,35438.192730521536,0.02163742476332079
유천1동,50774.018824431456,0.03100098869598594
유천2동,42632.412307394334,0.026029984677679148
문화1동,18050.013275308083,0.011020759641759317
문화2동,22725.035870751864,0.013875178614107708
산성동,1991.0695008720672,0.0012156832277329288
복수동,16765.555401784302,0.010236510828300797
도마1동,27462.596885131312,0.016767781540836257
도마2동,20724.089316094472,0.012653464773871812
정림동,6587.789981275064,0.004022293438051967
변동,25204.973492547335,0.015389349049303556
용문동,29817.312179278782,0.01820549523587679
탄방동,22608.097435739433,0.01380377975331471
괴정동,28125.54978612822,0.017172559335968892
가장동,35994.47091742726,0.021977070396724734
내동,29516.127207770918,0.018021601344605308
갈마1동,29013.725042532253,0.017714850683420533
갈마2동,39177.04555645255,0.023920248476634372
월평1동,11546.278333252629,0.007049787516871435
월평2동,2826.0121794674287,0.0017254724691643383
월평3동,19342.483361688166,0.011809900455613686
가수원동,5847.886589194972,0.003570532139161846
관저1동,12311.340187778893,0.007516909766656521
관저2동,8725.932343618728,0.005327774641630238
기성동,556.4645625965156,0.00033975942842780297
둔산1동,9296.787730584434,0.005676320646222867
둔산2동,6735.329027730703,0.0041123760515083384
만년동,8725.932343618728,0.005327774641630238
둔산3동,20724.089316094472,0.012653464773871812
진잠동,1961.103081062648,0.0011973866921566674
온천1동,9687.306866360437,0.00591475911522845
온천2동,9305.162054343975,0.00568143373993136
노은1동,3446.5061580026672,0.002104326206959116
노은2동,4187.220091998628,0.002556582396766939
노은3동,3022.830373306815,0.0018456433507224323
신성동,1397.5782775786251,0.0008533165069085036
전민동,2894.9393057959014,0.0017675571635341995
구즉동,1379.0939435801047,0.0008420305649521968
관평동,4835.6208404220415,0.0029524751139034214
원신흥동,6322.6035201644145,0.0038603790835541117
오정동,24222.961538292227,0.014789764021408603
대화동,8487.00800563869,0.005181895097871314
회덕동,2888.288802838658,0.0017634965795628374
비래동,11877.687011015334,0.007252135034577274
송촌동,33676.64513865352,0.020561880257541694
중리동,74690.17424659547,0.04560342673536348
신탄진동,2680.772877561003,0.0016367940060278445
석봉동,25990.046437397155,0.01586868942952776
덕암동,8096.38859133594,0.004943395402011011
목상동,4876.256309669286,0.0029772858291463073
법1동,15941.607166226513,0.009733434441439853
법2동,10971.576696755894,0.006698893115579192
