행정동,sum,weight
중앙동,4208.252343877193,0.005965134398130113
효동,8038.620803814392,0.011394624074795478
신인동,4534.606607279913,0.0064277366575769355
판암1동,5496.492857308988,0.0077911959485781074
판암2동,11276.398627572968,0.015984125438254768
용운동,19770.197746133257,0.02802395792754187
대동,5281.786105070353,0.0074868523568367715
자양동,21221.615391266416,0.03008132060771328
가양1동,8820.153381963015,0.012502434748733929
가양2동,13552.29020130247,0.019210167510712892
용전동,13912.997545063374,0.01972146474483833
성남동,6028.965602860794,0.00854596805609661
홍도동,7145.440714501683,0.010128554733151537
삼성동,6286.613705547153,0.008911180366186208
대청동,1073.5337611931614,0.001521717958706661
산내동,5522.257667577624,0.007827717179587067
은행선화동,13260.28901825793,0.01879626022594468
목동,4302.723314862191,0.006099045578496298
중촌동,8614.034899813927,0.012210264900662248
대흥동,8957.565703395741,0.012697214647448385
문창동,3263.542634027211,0.00462602259446825
석교동,7145.440714501683,0.010128554733151537
대사동,4835.1960604139995,0.006853817686014802
부사동,3761.6622992208377,0.005332099727308141
용두동,6810.498181009414,0.009653778730035055
오류동,4740.725089429001,0.006719906505648616
태평1동,3598.4851675194773,0.005100798597584728
태평2동,6956.498772531687,0.009860732372419165
유천1동,3598.4851675194773,0.005100798597584728
유천2동,5822.847120711707,0.00825379820802493
문화1동,6836.262991278052,0.009690299961044018
문화2동,7325.794386382135,0.010384203350214257
산성동,10692.39626148389,0.015156310868718348
복수동,9498.626719037093,0.01346416049863654
도마1동,14368.175859809275,0.020366673159329957
도마2동,12916.758214676114,0.01830931047915854
정림동,5170.138593906266,0.00732859368913128
변동,7772.384431038488,0.011017238021036227
용문동,13449.230960227927,0.019064082586677054
탄방동,22922.09286899638,0.03249172185430463
괴정동,16360.654520583785,0.023190981690689522
가장동,4732.136819339456,0.0067077327619789635
내동,6956.498772531687,0.009860732372419165
갈마1동,14239.351808466094,0.020184067004285156
갈마2동,19718.66812559599,0.027950915465523953
월평1동,11216.28073694615,0.015898909232567194
월평2동,12169.57871688568,0.017250194779898715
월평3동,3589.896897429932,0.005088624853915075
가수원동,9790.62790208163,0.013878067783404746
관저1동,6209.319274741245,0.008801616673159327
관저2동,10194.27659629026,0.014450233735878452
기성동,1872.2428795208734,0.002653876119984417
둔산1동,3692.956138504475,0.0052347097779509135
둔산2동,12839.463783870213,0.01819974678613167
만년동,5848.611930980343,0.008290319439033888
둔산3동,8004.267723456211,0.011345929100116864
진잠동,12100.872556169315,0.017152804830541483
온천1동,26391.753985172672,0.037409914296844544
온천2동,29784.120670543067,0.0422185430463576
노은1동,7738.031350680308,0.010968543046357615
노은2동,6733.203750203507,0.009544215037008178
노은3동,8665.564520351203,0.012283307362680174
신성동,7686.501730143038,0.010895500584339697
전민동,6930.73396226305,0.009824211141410204
구즉동,9352.62612751482,0.01325720685625243
관평동,5402.021886323987,0.007657284768211917
원신흥동,14789.001094196992,0.020963186599142966
오정동,16472.302031747866,0.023349240358395005
대화동,4225.428884056283,0.005989481885469418
회덕동,6149.20138411443,0.008716400467471757
비래동,5865.788471159433,0.008314666926373195
송촌동,6260.848895278517,0.008874659135177248
중리동,11817.45964321432,0.016751071289442927
신탄진동,5256.021294801717,0.007450331125827811
석봉동,3194.8364733108474,0.004528632645111022
덕암동,5230.256484533084,0.007413809894818856
목상동,2421.892165251773,0.0034329957148422287
법1동,8734.270681067563,0.012380697312037397
법2동,8047.209073903939,0.011406797818465132
