,1218_유동인구/거주인구,2103_유동인구/거주인구,면적대비_CCTV,보정_면적대비범죄자수,유흥매출액,여성1인가구수
1218_유동인구/거주인구,1,0.2,3,3,0.2,0.3333333333333333
2103_유동인구/거주인구,5,1,5,5,1,1
면적대비_CCTV,0.3333333333333333,0.2,1,0.3333333333333333,0.2,0.2
보정_면적대비범죄자수,0.3333333333333333,0.2,3,1,0.3333333333333333,0.3333333333333333
유흥매출액,5,1,5,3,1,3
여성1인가구수,3,1,5,3,0.3333333333333333,1
